Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
0,1929188,2141696,1913518
1,1913518,2136444,1913518
2,1913518,2143929,1913518
3,1912828,2125576,1913518
4,1914290,2167389,1912828
5,1913518,2207488,1912828
6,1908420,2073077,1912828
7,1908420,2000450,1908420
8,1908420,1976745,1908420
9,1908420,1954732,1908420
10,1908420,1981521,1908420
11,1905677,1971366,1908420
12,1908420,1980101,1905677
13,1905677,1992943,1905677
14,1905677,1997388,1905677
15,1904319,1967257,1905677
16,1901631,1958894,1904319
17,1901631,1954707,1901631
18,1899558,1982859,1901631
19,1899558,1969970,1899558
20,1899558,1961194,1899558
21,1899603,1948989,1899558
22,1899558,1963937,1899558
23,1897576,1959525,1899558
24,1893021,1964943,1897576
25,1895005,1976063,1893021
26,1892918,1966257,1893021
27,1892918,1968200,1892918
28,1892821,1965127,1892918
29,1892693,1978058,1892821
30,1890796,1959585,1892693
31,1889166,1952935,1890796
32,1888966,1936249,1889166
33,1888966,1947116,1888966
34,1887941,1955031,1888966
35,1888966,1930604,1887941
36,1888525,1944981,1887941
37,1887941,1936496,1887941
38,1884321,1938555,1887941
39,1888966,1951973,1884321
40,1884307,1941020,1884321
41,1884307,1940654,1884307
42,1884307,1950385,1884307
43,1884307,1955743,1884307
44,1884307,1945806,1884307
45,1884307,1928855,1884307
46,1881548,1923100,1884307
47,1881548,1917788,1881548
48,1881408,1926714,1881548
49,1881548,1927847,1881408
50,1881408,1928422,1881408
51,1881408,1937461,1881408
52,1878792,1917088,1881408
53,1875968,1920175,1878792
54,1875968,1924779,1875968
55,1875968,1919679,1875968
56,1873018,1914964,1875968
57,1875805,1928413,1873018
58,1873018,1924037,1873018
59,1870599,1951006,1873018
60,1869084,1917151,1870599
61,1869084,1929298,1869084
62,1869084,1909200,1869084
63,1868730,1910947,1869084
64,1866196,1926900,1868730
65,1866861,1917017,1866196
66,1863322,1898653,1866196
67,1863731,1900447,1863322
68,1863322,1902687,1863322
69,1863322,1906519,1863322
70,1863322,1900486,1863322
71,1860166,1914136,1863322
72,1863322,1906920,1860166
73,1860105,1910282,1860166
74,1860166,1902763,1860105
75,1860105,1901567,1860105
76,1859892,1904458,1860105
77,1857880,1902165,1859892
78,1857880,1902357,1857880
79,1857819,1902705,1857880
80,1857880,1901161,1857819
81,1857880,1901282,1857819
82,1856366,1903167,1857819
83,1856042,1900274,1856366
84,1856042,1905197,1856042
85,1856042,1913087,1856042
86,1853560,1910699,1856042
87,1853560,1913903,1853560
88,1854018,1907957,1853560
89,1853560,1903639,1853560
90,1851247,1911503,1853560
91,1853560,1913845,1851247
92,1853560,1917262,1851247
93,1851615,1907227,1851247
94,1850710,1919077,1851247
95,1851615,1916505,1850710
96,1851615,1904565,1850710
97,1851615,1914455,1850710
98,1849721,1920206,1850710
99,1849721,1915115,1849721
100,1849721,1895062,1849721
101,1847744,1902617,1849721
102,1847744,1913949,1847744
103,1847744,1889348,1847744
104,1845723,1894142,1847744
105,1844560,1916024,1845723
106,1844560,1890363,1844560
107,1837503,1897693,1844560
108,1837503,1894337,1837503
109,1837399,1924124,1837503
110,1835644,1896015,1837399
111,1842403,1889527,1835644
112,1837399,1899277,1835644
113,1835644,1897843,1835644
114,1835644,1881518,1835644
115,1835644,1909538,1835644
116,1835540,1893867,1835644
117,1835540,1876163,1835540
118,1830020,1876109,1835540
119,1830020,1872014,1830020
120,1834683,1892809,1830020
121,1830020,1888948,1830020
122,1830020,1890445,1830020
123,1827659,1907658,1830020
124,1827526,1880060,1827659
125,1827555,1858443,1827526
126,1825829,1871538,1827526
127,1826037,1875466,1825829
128,1825829,1868503,1825829
129,1825829,1863477,1825829
130,1822406,1857633,1825829
131,1822406,1864434,1822406
132,1822406,1865162,1822406
133,1822406,1860239,1822406
134,1820105,1860718,1822406
135,1820105,1866189,1820105
136,1818258,1858749,1820105
137,1818258,1858275,1818258
138,1818258,1868298,1818258
139,1815786,1864532,1818258
140,1815786,1859107,1815786
141,1815786,1857783,1815786
142,1815786,1857466,1815786
143,1813451,1854548,1815786
144,1813451,1858486,1813451
145,1813451,1854983,1813451
146,1810602,1861395,1813451
147,1813451,1855185,1810602
148,1810602,1870978,1810602
149,1810602,1872616,1810602
150,1810602,1856692,1810602
151,1810588,1863753,1810602
152,1810588,1866020,1810588
153,1807272,1854199,1810588
154,1804858,1852393,1807272
155,1804858,1858039,1804858
156,1803845,1854723,1804858
157,1802551,1850388,1803845
158,1802551,1859195,1802551
159,1804858,1843089,1802551
160,1802551,1858947,1802551
161,1802551,1862902,1802551
162,1802551,1855367,1802551
163,1799902,1856475,1802551
164,1799902,1842613,1799902
165,1796815,1863794,1799902
166,1796815,1854151,1796815
167,1792545,1851721,1796815
168,1796815,1845075,1792545
169,1796815,1838664,1792545
170,1792545,1841812,1792545
171,1792545,1839196,1792545
172,1792545,1843179,1792545
173,1788719,1843407,1792545
174,1788719,1820583,1788719
175,1788719,1826055,1788719
176,1785120,1817497,1788719
177,1785120,1822949,1785120
178,1785120,1826571,1785120
179,1783975,1830849,1785120
180,1781935,1828434,1783975
181,1781560,1820352,1781935
182,1781237,1819532,1781560
183,1779802,1824568,1781237
184,1779802,1820579,1779802
185,1779802,1822950,1779802
186,1778966,1820740,1779802
187,1777854,1825015,1778966
188,1777261,1824727,1777854
189,1775188,1813670,1777261
190,1772793,1812465,1775188
191,1772793,1817262,1772793
192,1772793,1814028,1772793
193,1772793,1818780,1772793
194,1772793,1811133,1772793
195,1772793,1814001,1772793
196,1769972,1806111,1772793
197,1769972,1794588,1769972
198,1766404,1801933,1769972
199,1766404,1784678,1766404
200,1764233,1792545,1766404
201,1761347,1793771,1764233
202,1761347,1791114,1761347
203,1761347,1822006,1761347
204,1761347,1790816,1761347
205,1759730,1794981,1761347
206,1759730,1801636,1759730
207,1759730,1803268,1759730
208,1757402,1802543,1759730
209,1757402,1795665,1757402
210,1753858,1795577,1757402
211,1753858,1797761,1753858
212,1753858,1789106,1753858
213,1750269,1790604,1753858
214,1750269,1786737,1750269
215,1746143,1785223,1750269
216,1746143,1794483,1746143
217,1738853,1782119,1746143
218,1738853,1788779,1738853
219,1736223,1756486,1738853
220,1735572,1767989,1736223
221,1732403,1769589,1735572
222,1733673,1772085,1732403
223,1732403,1758754,1732403
224,1730023,1760505,1732403
225,1729489,1765563,1730023
226,1726345,1770045,1729489
227,1722017,1753222,1726345
228,1722017,1770848,1722017
229,1722017,1777596,1722017
230,1718350,1753190,1722017
231,1718350,1756717,1718350
232,1718350,1732977,1718350
233,1715079,1751546,1718350
234,1715079,1748293,1715079
235,1710645,1718350,1715079
236,1708570,1718350,1710645
237,1706788,1715079,1708570
238,1702815,1738088,1706788
239,1706788,1712335,1702815
240,1702815,1732933,1702815
241,1701583,1724980,1702815
242,1699751,1731119,1701583
243,1699751,1703057,1699751
244,1699751,1702815,1699751
245,1699751,1702815,1699751
246,1697965,1701583,1699751
247,1697965,1740935,1697965
248,1695840,1701953,1697965
249,1695840,1727732,1695840
250,1694275,1725929,1695840
251,1694275,1727996,1694275
252,1691353,1695840,1694275
253,1691353,1695840,1691353
254,1688634,1712165,1691353
255,1688634,1727730,1688634
256,1688634,1720303,1688634
257,1685836,1728658,1688634
258,1685507,1724035,1685836
259,1685507,1723903,1685507
260,1685016,1723164,1685507
261,1683963,1717107,1685016
262,1683963,1718081,1683963
263,1681922,1710525,1683963
264,1681922,1714108,1681922
265,1680721,1712890,1681922
266,1680474,1717587,1680721
267,1680474,1703499,1680474
268,1680474,1715677,1680474
269,1680474,1708704,1680474
270,1680474,1712344,1680474
271,1680474,1710326,1680474
272,1680474,1713319,1680474
273,1680474,1718004,1680474
274,1680474,1722189,1680474
275,1680474,1704198,1680474
276,1680474,1721528,1680474
277,1680474,1707752,1680474
278,1680474,1712024,1680474
279,1680474,1715644,1680474
280,1680474,1711937,1680474
281,1680474,1719722,1680474
282,1680474,1719206,1680474
283,1680474,1711453,1680474
284,1680474,1718917,1680474
285,1680474,1713214,1680474
286,1680474,1714090,1680474
287,1680474,1709114,1680474
288,1680474,1710990,1680474
289,1680474,1723253,1680474
290,1680474,1708201,1680474
291,1680474,1707876,1680474
292,1680474,1721746,1680474
293,1680474,1710470,1680474
294,1680474,1704432,1680474
295,1680474,1719824,1680474
296,1680474,1715222,1680474
297,1680474,1707149,1680474
298,1680474,1711337,1680474
299,1680474,1713261,1680474
300,1680474,1715692,1680474
301,1680474,1709705,1680474
302,1680474,1713690,1680474
303,1680474,1715711,1680474
304,1680474,1706082,1680474
