Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
0,315701,399965,311987
1,306728,392199,311987
2,311544,398902,306728
3,306877,399234,306728
4,306877,393466,306728
5,306877,420881,306728
6,305624,390681,306728
7,297240,394063,305624
8,297240,392020,297240
9,297240,390845,297240
10,297240,389040,297240
11,300907,385031,297240
12,295072,394630,297240
13,291711,384374,295072
14,287805,379966,291711
15,285400,376856,287805
16,285400,375369,285400
17,285400,374358,285400
18,285400,374209,285400
19,285400,371513,285400
20,285400,376332,285400
21,285400,372112,285400
22,280151,366413,285400
23,280236,368848,280151
24,280236,358596,280151
25,280236,369074,280151
26,280236,362148,280151
27,279073,362250,280151
28,279666,357703,279073
29,279073,362099,279073
30,278743,358803,279073
31,278556,362952,278743
32,278556,361450,278556
33,279073,354063,278556
34,278556,358807,278556
35,278556,364087,278556
36,278556,357601,278556
37,278743,353018,278556
38,278527,354562,278556
39,278527,355812,278527
40,278527,355788,278527
41,278447,358307,278527
42,278447,360987,278447
43,278236,353891,278447
44,278475,356432,278236
45,278236,353787,278236
46,278236,357546,278236
47,278236,367866,278236
48,278236,355545,278236
49,278236,347666,278236
50,278236,365942,278236
51,278236,349176,278236
52,278110,358916,278236
53,278110,352170,278110
54,278110,370384,278110
55,278236,352991,278110
56,278110,361183,278110
57,278110,361341,278110
58,278110,360021,278110
59,278110,353759,278110
60,278110,357370,278110
61,277775,354486,278110
62,278021,363811,277775
63,278107,356551,277775
64,278021,353313,277775
65,277692,358229,277775
66,278021,348192,277692
67,277504,362755,277692
68,277692,354531,277504
69,277692,357564,277504
70,277692,352424,277504
71,277049,362771,277504
72,277049,362828,277049
73,277049,358012,277049
74,277049,356432,277049
75,277692,362054,277049
76,277049,372487,277049
77,277049,353194,277049
78,277049,353982,277049
79,277049,361188,277049
80,277049,360998,277049
81,277049,344864,277049
82,276655,364309,277049
83,277049,359848,276655
84,276759,360575,276655
85,276118,355988,276655
86,276628,355106,276118
87,276118,355048,276118
88,276118,369481,276118
89,276118,353729,276118
90,276118,361101,276118
91,276118,356483,276118
92,276118,350660,276118
93,276118,360173,276118
94,276118,361546,276118
95,276118,356726,276118
96,275809,351605,276118
97,275809,346764,275809
98,275809,368299,275809
99,275809,352287,275809
100,275809,352073,275809
101,275809,353656,275809
102,275809,367025,275809
103,275809,367081,275809
104,275767,356981,275809
105,275767,351698,275767
106,275679,348520,275767
107,275679,346408,275679
108,275511,351824,275679
109,275424,354864,275511
110,275424,366249,275424
111,275424,365439,275424
112,275679,357501,275424
113,275424,353786,275424
114,275424,347960,275424
115,275424,356115,275424
116,275276,365027,275424
117,275424,354998,275276
118,275276,350609,275276
119,275424,352836,275276
120,275265,359623,275276
121,275265,354980,275265
122,275265,344740,275265
123,275265,358381,275265
124,275082,350202,275265
125,275082,354328,275082
126,275082,350032,275082
127,275082,347189,275082
128,275082,346518,275082
129,275082,354756,275082
130,275082,352982,275082
131,275082,346005,275082
132,274997,355894,275082
133,274836,353164,274997
134,274836,364807,274836
135,274836,358592,274836
136,274836,352944,274836
137,274836,342369,274836
138,274836,356530,274836
139,274825,353453,274836
140,274705,362877,274825
141,274696,347412,274705
142,274618,352939,274696
143,274618,353527,274618
144,274618,359554,274618
145,274618,356772,274618
146,274557,348155,274618
147,274441,357465,274557
148,274441,351638,274441
149,274430,358165,274441
150,274190,355797,274430
151,274430,359190,274190
152,274190,355066,274190
153,274190,355134,274190
154,274190,354929,274190
155,274190,352043,274190
156,274190,345569,274190
157,274190,344636,274190
158,274190,351971,274190
159,274190,345879,274190
160,274035,350254,274190
161,274190,348674,274035
162,274190,360980,274035
163,274190,365390,274035
164,274190,349368,274035
165,274003,352309,274035
166,274003,354472,274003
167,274190,360092,274003
168,274190,372440,274003
169,274190,358714,274003
170,274003,359234,274003
171,274003,365933,274003
172,274003,350124,274003
173,274003,368413,274003
174,274003,343748,274003
175,274003,358477,274003
176,274003,352322,274003
177,274003,347614,274003
178,274003,349236,274003
179,274003,342444,274003
180,274003,351715,274003
181,274003,362941,274003
182,274003,346024,274003
183,273521,344115,274003
184,274003,355038,273521
185,273521,354275,273521
186,273521,355970,273521
187,273521,354320,273521
188,273521,346920,273521
189,274003,348447,273521
190,274003,355058,273521
191,273521,345790,273521
192,273521,351723,273521
193,273374,360451,273521
194,273521,351303,273374
195,273521,354045,273374
196,273400,355818,273374
197,273521,365361,273374
198,273521,349244,273374
199,273521,349770,273374
200,273374,357711,273374
201,273521,349263,273374
202,273521,357938,273374
203,273521,355175,273374
204,273374,350733,273374
205,273374,354039,273374
206,273374,355304,273374
207,273374,351863,273374
208,273374,357206,273374
209,273374,359583,273374
210,273374,349986,273374
211,273374,354354,273374
212,273374,355791,273374
213,272971,359801,273374
214,273290,349405,272971
215,273374,356593,272971
216,272971,355311,272971
217,272971,351284,272971
218,272971,352203,272971
219,272971,353368,272971
220,272971,354592,272971
221,272971,362749,272971
222,272971,353787,272971
223,272971,351193,272971
224,272971,349228,272971
225,272971,358026,272971
226,272971,351259,272971
227,272971,348345,272971
228,272971,346043,272971
229,272971,363960,272971
230,272971,351823,272971
231,272971,355366,272971
232,272971,353685,272971
233,272971,360273,272971
234,272971,349369,272971
235,272791,350756,272971
236,272791,355864,272791
237,272791,346131,272791
238,272791,352744,272791
239,272791,358980,272791
240,272791,364813,272791
241,272791,359784,272791
242,272574,347229,272791
243,272791,340514,272574
244,272791,353188,272574
245,272574,351437,272574
246,272791,357193,272574
247,272574,349185,272574
248,272574,363757,272574
249,272574,349558,272574
250,272574,354863,272574
251,272516,350102,272574
252,272574,357472,272516
253,272574,353121,272516
254,272516,345963,272516
255,272574,356345,272516
256,272516,354024,272516
257,272516,357451,272516
258,272516,371987,272516
259,272215,357900,272516
260,272516,354950,272215
261,272215,349831,272215
262,272215,355069,272215
263,272215,344570,272215
264,272516,349092,272215
265,272215,345106,272215
266,272215,358888,272215
267,272215,352297,272215
268,272215,342069,272215
269,272215,367991,272215
270,272215,352583,272215
271,272215,350308,272215
272,272215,354245,272215
273,272215,348270,272215
274,272215,344944,272215
275,272215,341852,272215
276,272215,351868,272215
277,272215,357102,272215
278,272215,351631,272215
279,272215,356193,272215
280,271988,354173,272215
281,272215,349075,271988
282,271988,354028,271988
283,271988,364045,271988
284,271988,355755,271988
285,271988,356202,271988
286,271988,342311,271988
287,271988,345348,271988
288,271988,351229,271988
289,271988,350564,271988
290,271988,357940,271988
291,271988,344866,271988
292,271988,357262,271988
293,271988,346630,271988
294,271988,347109,271988
295,271988,346655,271988
296,271988,369038,271988
297,271559,358931,271988
298,271775,347454,271559
299,271559,351618,271559
300,271559,357203,271559
301,271559,356707,271559
302,271559,350475,271559
303,271559,357918,271559
304,271559,344475,271559
305,271559,368308,271559
306,271559,340357,271559
307,271559,348891,271559
308,271559,347894,271559
309,271559,346739,271559
310,271559,357964,271559
311,271559,346784,271559
312,271559,351817,271559
313,271559,356826,271559
314,271559,362220,271559
315,271559,347653,271559
316,271559,356876,271559
317,271559,343350,271559
318,271559,348709,271559
319,271559,349839,271559
320,271494,351811,271559
321,271494,360370,271494
322,271494,350832,271494
323,271559,351185,271494
324,271494,345805,271494
325,271559,362223,271494
326,271559,349510,271494
327,271559,349658,271494
328,271494,343675,271494
329,271559,345850,271494
330,271494,356326,271494
331,271494,359320,271494
332,271494,361044,271494
333,271494,343879,271494
334,271494,358782,271494
335,271494,350539,271494
336,271494,349396,271494
337,271494,365100,271494
338,271494,349504,271494
339,271494,357094,271494
340,271494,354794,271494
341,271494,349869,271494
342,271494,345729,271494
343,271494,349898,271494
344,271494,346066,271494
345,271494,346035,271494
346,271494,346906,271494
347,271494,347026,271494
348,271494,347866,271494
349,271494,348807,271494
350,271494,353038,271494
351,271494,350640,271494
352,271494,352018,271494
353,271494,351478,271494
354,271494,346195,271494
355,271494,354420,271494
356,271494,344868,271494
357,271494,354170,271494
358,271494,352020,271494
359,271494,347220,271494
360,271494,345484,271494
361,271494,357953,271494
362,271494,349853,271494
363,271494,351239,271494
364,271494,357345,271494
365,271494,354231,271494
366,271494,346294,271494
367,271494,345242,271494
368,271494,353936,271494
369,271494,346784,271494
370,271303,357902,271494
371,271303,344497,271303
372,271494,344359,271303
373,271494,360425,271303
374,271494,354635,271303
375,271303,346524,271303
376,271303,353403,271303
377,271303,358533,271303
378,271303,345601,271303
379,271494,344020,271303
380,271303,361836,271303
381,271303,350120,271303
382,271303,356201,271303
383,271303,349989,271303
384,271302,353936,271303
385,271303,350861,271302
386,271205,355138,271302
387,271205,363444,271205
388,271205,356068,271205
389,271205,355366,271205
390,271205,346177,271205
391,271205,348121,271205
392,271205,345282,271205
393,271205,353588,271205
394,271205,357142,271205
395,271205,349714,271205
396,271205,344269,271205
397,271205,345297,271205
398,270982,348288,271205
399,270982,347688,270982
400,270982,362894,270982
401,270982,348533,270982
402,270982,351327,270982
403,270982,342277,270982
404,270982,354362,270982
405,270982,359307,270982
406,270982,350568,270982
407,270982,351096,270982
408,270982,349790,270982
409,270982,346086,270982
410,270982,350701,270982
411,270597,353681,270982
412,270597,350040,270597
413,270597,342116,270597
414,270597,352600,270597
415,270597,342733,270597
416,270597,354142,270597
417,270597,352931,270597
418,270597,355470,270597
419,270597,345236,270597
420,270597,357538,270597
421,270597,355385,270597
422,270597,368158,270597
423,270597,349903,270597
424,270597,342414,270597
425,270597,348744,270597
426,270597,353381,270597
427,270597,341443,270597
428,269588,346056,270597
429,270597,359155,269588
430,269588,353545,269588
431,269588,349373,269588
432,269588,351898,269588
433,269588,363871,269588
434,269588,353526,269588
435,269588,359222,269588
436,269588,342724,269588
437,269588,352527,269588
438,269588,346955,269588
439,269588,353829,269588
440,269588,356625,269588
441,269588,349641,269588
442,269588,341566,269588
443,269588,353942,269588
444,269588,338302,269588
445,269588,340654,269588
446,269588,351052,269588
447,269545,363853,269588
448,269588,351455,269545
449,269588,350534,269545
450,269545,341486,269545
451,269588,350301,269545
452,269493,348400,269545
453,269493,349257,269493
454,269588,357321,269493
455,269493,342756,269493
456,269493,347569,269493
457,269395,353721,269493
458,269493,346482,269395
459,269395,352822,269395
460,269395,352761,269395
461,269493,348938,269395
462,269395,337532,269395
463,269395,356647,269395
464,268878,345554,269395
465,268878,344343,268878
466,268878,351435,268878
467,269395,354237,268878
468,268878,356423,268878
469,268878,345626,268878
470,268878,348029,268878
471,268878,344516,268878
472,268878,343698,268878
473,268878,355096,268878
474,268878,357319,268878
475,268878,346024,268878
476,268878,345250,268878
477,268878,346454,268878
