Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
0,77520640,81290176,77520640
1,77520640,79882034,77520640
2,77259290,80593489,77520640
3,77259290,79830704,77259290
4,77171372,80327585,77259290
5,77008173,79587040,77171372
6,77008173,78972147,77008173
7,77008173,80005805,77008173
8,77263076,79634869,77008173
9,77171372,79366051,77008173
10,76781101,79900464,77008173
11,76781101,78830060,76781101
12,76695485,78526961,76781101
13,76376771,78968819,76695485
14,77526225,79528026,76376771
15,76376771,79921527,76376771
16,76376771,79310074,76376771
17,76376771,79230119,76376771
18,76349705,79313587,76376771
19,76577087,78701527,76349705
20,76349705,78395781,76349705
21,76215946,78435440,76349705
22,76225176,78650380,76215946
23,76349705,78682464,76215946
24,76112186,79001443,76215946
25,76112186,78546387,76112186
26,75798994,78171816,76112186
27,75798994,78021521,75798994
28,75798994,78172668,75798994
29,75798994,78409647,75798994
30,76112186,78498801,75798994
31,75798994,78063808,75798994
32,75798994,77795476,75798994
33,75297675,78791323,75798994
34,75778142,77856617,75297675
35,75101853,77864006,75297675
36,75193730,77776609,75101853
37,74941227,79162862,75101853
38,74937580,77684680,74941227
39,74869991,77594862,74937580
40,74705495,76916396,74869991
41,74561066,77998087,74705495
42,74561066,77364190,74561066
43,74705495,77142231,74561066
44,74561066,76908899,74561066
45,74705495,76827109,74561066
46,74405426,76970126,74561066
47,74561066,77264915,74405426
48,74294425,77703681,74405426
49,74294425,76348336,74294425
50,74254341,76787943,74294425
51,74397622,76571013,74254341
52,74163462,76362891,74254341
53,74253802,76425449,74163462
54,74080429,76838992,74163462
55,73920996,76734424,74080429
56,74005948,76782550,73920996
57,73833720,75990435,73920996
58,73758745,76110512,73833720
59,73952373,75907293,73758745
60,73760316,76271976,73758745
61,73484304,76408844,73758745
62,73758745,76143292,73484304
63,73214798,76475519,73484304
64,73095347,76087314,73214798
65,73095347,75271210,73095347
66,72735654,76202925,73095347
67,72788741,75408261,72735654
68,72507793,74684370,72735654
69,72405211,75394233,72507793
70,72988169,75137220,72405211
71,72361000,75621386,72405211
72,72483056,75320626,72361000
73,72182067,76229097,72361000
74,72190335,74523321,72182067
75,72182067,75067277,72182067
76,72182542,74881996,72182067
77,71849894,74728293,72182067
78,71769070,74244662,71849894
79,71769070,74327855,71769070
80,71475138,74432479,71769070
81,71071945,73899642,71475138
82,71475138,73793848,71071945
83,71475138,73289667,71071945
84,71475138,74160905,71071945
85,70791840,74326190,71071945
86,70791840,74165026,70791840
87,70791840,73779782,70791840
88,70791840,73030495,70791840
89,70791840,73214871,70791840
90,70839315,73660880,70791840
91,70791840,72667245,70791840
92,70783902,73018568,70791840
93,70783902,72789031,70783902
94,70783902,72728770,70783902
95,70783902,73136910,70783902
96,71035426,73317691,70783902
97,70783902,73212587,70783902
98,70783902,72691442,70783902
99,70783902,72957439,70783902
100,70783902,73535523,70783902
101,70783271,72877321,70783902
102,70772032,73526546,70783271
103,70783902,73620844,70772032
104,70795719,73414267,70772032
105,70772032,73567500,70772032
106,70772032,73354662,70772032
107,70772032,73532045,70772032
108,70772032,73053374,70772032
109,70772032,72787364,70772032
110,70772032,73278486,70772032
111,70772032,72548699,70772032
112,70770139,72824654,70772032
113,70770139,73263926,70770139
114,70772032,72792792,70770139
115,70772032,72957758,70770139
116,70772032,73106508,70770139
117,70770139,73330228,70770139
118,70772032,73312281,70770139
119,71161639,72651738,70770139
120,70758978,72785681,70770139
121,70708031,72981419,70758978
122,70758978,73338562,70708031
123,70736428,73540432,70708031
124,70708463,73700219,70708031
125,70709612,73013019,70708031
126,70707196,73084347,70708031
127,70711603,73608294,70707196
128,70708031,72988345,70707196
129,70707196,73385353,70707196
130,70707196,72829784,70707196
131,70707196,72461685,70707196
132,70708031,72610266,70707196
133,70707196,72703976,70707196
134,70707196,72642212,70707196
135,70707196,72930526,70707196
136,70713458,73696804,70707196
137,70707196,73374260,70707196
138,70707196,73194788,70707196
139,70707196,72717578,70707196
140,70770604,73255609,70707196
141,70707196,73032370,70707196
142,70707196,73047508,70707196
143,70707196,72683253,70707196
144,70707196,72666564,70707196
145,70707196,73458725,70707196
146,70707196,73138992,70707196
147,70707196,73177124,70707196
148,70707196,72936317,70707196

Precisao,Condicao_Parada,Tempo,Melhor_Fitness
0.9341191383123155,TEMPO_ESGOTADO,9179,70707196

tamanho_populacao,k_individuos_selecao,posicoes_cruzamento,busca_local_profundidade,taxa_busca_local,taxa_cruzamento,taxa_mutacao,taxa_sobrevivencia
10,3,200,0.4,0.8,0.05,0.6
