Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
366,1744926,1863491,1744926
367,1744926,1840111,1744926
368,1744926,1839370,1744926
369,1744926,1839777,1744926
370,1744926,1830720,1744926
371,1741113,1840479,1744926
372,1744926,1837437,1741113
373,1741113,1822186,1741113
374,1741113,1841180,1741113
375,1741113,1832033,1741113
376,1741113,1843876,1741113
377,1741113,1839850,1741113
378,1741113,1853865,1741113
379,1737345,1833256,1741113
380,1741113,1836636,1737345
381,1737345,1841798,1737345
382,1737345,1832091,1737345
383,1737345,1825229,1737345
384,1737345,1832901,1737345
385,1737345,1823272,1737345
386,1737345,1830794,1737345
387,1737345,1827183,1737345
388,1733966,1850458,1737345
389,1733966,1825676,1733966
390,1733966,1825606,1733966
391,1729322,1830648,1733966
392,1733966,1837518,1729322
393,1733966,1816727,1729322
394,1733966,1813441,1729322
395,1733966,1837083,1729322
396,1729322,1833572,1729322
397,1729322,1823057,1729322
398,1729322,1834062,1729322
399,1729322,1816416,1729322
400,1729322,1818127,1729322
401,1726125,1818793,1729322
402,1729322,1826425,1726125
403,1729322,1827210,1726125
404,1726125,1829785,1726125
405,1722778,1819795,1726125
406,1726125,1823157,1722778
407,1726125,1808820,1722778
408,1722778,1809802,1722778
409,1726125,1815477,1722778
410,1722778,1815083,1722778
411,1725297,1820518,1722778
412,1722778,1813294,1722778
413,1722778,1815710,1722778
414,1722778,1822207,1722778
415,1722778,1811905,1722778
416,1722778,1815293,1722778
417,1720423,1824409,1722778
418,1720423,1828716,1720423
419,1720423,1804655,1720423
420,1720423,1813496,1720423
421,1720423,1809153,1720423
422,1720423,1800369,1720423
423,1716685,1808694,1720423
424,1720423,1826047,1716685
425,1716685,1810951,1716685
426,1716685,1812398,1716685
427,1714072,1808466,1716685
428,1714072,1816868,1714072
429,1714072,1814670,1714072
430,1714072,1807761,1714072
431,1711321,1828234,1714072
432,1714072,1807008,1711321
433,1711321,1810387,1711321
434,1711321,1803919,1711321
435,1711321,1819921,1711321
436,1711321,1799834,1711321
437,1711321,1809107,1711321
438,1711321,1794609,1711321
439,1709979,1806083,1711321
440,1708596,1799459,1709979
441,1709979,1799321,1708596
442,1708596,1789535,1708596
443,1708596,1794486,1708596
444,1707720,1805226,1708596
445,1705789,1795374,1707720
446,1708596,1802822,1705789
447,1708857,1808789,1705789
448,1707720,1796600,1705789
449,1705789,1796971,1705789
450,1705789,1801115,1705789
451,1707720,1801625,1705789
452,1705789,1789997,1705789
453,1705789,1797098,1705789
454,1705789,1804518,1705789
455,1705789,1795219,1705789
456,1703474,1787100,1705789
457,1705789,1794293,1703474
458,1705789,1817964,1703474
459,1703474,1798432,1703474
460,1704372,1794847,1703474
461,1703474,1789083,1703474
462,1703474,1792785,1703474
463,1703474,1794687,1703474
464,1703474,1794079,1703474
465,1701670,1794966,1703474
466,1701670,1799156,1701670
467,1701670,1790027,1701670
468,1699552,1796356,1701670
469,1700931,1798320,1699552
470,1700931,1781948,1699552
471,1699552,1809591,1699552
472,1699552,1787526,1699552
473,1699552,1797641,1699552
474,1699030,1786211,1699552
475,1699552,1782456,1699030
476,1699552,1782245,1699030
477,1699552,1795155,1699030
478,1699552,1797408,1699030
479,1699030,1785301,1699030
480,1699030,1785708,1699030
481,1698089,1781875,1699030
482,1698089,1782462,1698089
483,1698089,1785305,1698089
484,1698089,1783487,1698089
485,1699030,1784354,1698089
486,1698089,1791651,1698089
487,1698089,1775919,1698089
488,1698089,1805122,1698089
489,1698089,1793349,1698089
490,1694769,1789094,1698089
491,1694769,1794538,1694769
492,1694769,1801194,1694769
493,1694769,1786611,1694769
494,1693959,1802724,1694769
495,1694769,1791608,1693959
496,1694769,1780255,1693959
497,1693959,1787114,1693959
498,1693959,1782425,1693959
499,1693959,1785489,1693959
500,1693072,1790503,1693959
501,1693072,1774837,1693072
502,1693072,1811321,1693072
503,1693072,1786412,1693072
504,1690612,1783483,1693072
505,1690612,1777140,1690612
506,1693072,1773858,1690612
507,1690612,1781942,1690612
508,1690612,1782846,1690612
509,1689343,1785164,1690612
510,1690612,1765958,1689343
511,1690612,1775257,1689343
512,1687830,1786688,1689343
513,1689343,1769202,1687830
514,1687830,1782426,1687830
515,1688417,1780826,1687830
516,1687138,1765316,1687830
517,1687138,1782344,1687138
518,1687830,1774412,1687138
519,1686598,1777974,1687138
520,1686598,1778069,1686598
521,1686598,1779085,1686598
522,1686598,1769248,1686598
523,1686598,1781930,1686598
524,1686598,1781118,1686598
525,1686598,1774458,1686598
526,1686598,1789158,1686598
527,1686598,1777557,1686598
528,1686598,1775714,1686598
529,1686598,1780400,1686598
530,1686598,1773651,1686598
531,1686598,1775694,1686598
532,1686598,1776112,1686598
533,1686598,1775681,1686598
534,1686598,1771499,1686598
535,1686598,1779184,1686598
536,1686598,1789316,1686598
537,1686598,1788858,1686598
538,1686598,1773106,1686598
539,1686500,1774817,1686598
540,1686500,1779612,1686500
541,1686500,1777419,1686500
542,1686598,1784003,1686500
543,1686598,1784854,1686500
544,1686598,1782671,1686500
545,1686598,1780518,1686500
546,1686500,1775532,1686500
547,1686598,1774845,1686500
548,1686598,1771854,1686500
549,1686500,1772293,1686500
550,1686598,1793024,1686500
551,1686500,1775143,1686500
552,1686500,1774674,1686500
553,1686500,1799071,1686500
554,1686500,1771693,1686500
555,1686500,1775928,1686500
556,1686500,1767848,1686500
557,1686500,1774930,1686500
558,1686500,1783336,1686500
559,1686500,1775230,1686500
560,1686500,1765262,1686500
561,1686500,1769477,1686500
562,1686500,1783923,1686500
563,1686500,1783989,1686500
564,1686500,1795199,1686500
565,1686500,1776265,1686500
566,1686500,1779923,1686500
567,1686500,1782428,1686500
568,1686500,1779532,1686500
569,1686500,1792959,1686500
570,1686500,1771276,1686500
571,1686500,1764869,1686500
572,1686500,1782868,1686500
573,1686500,1774184,1686500
574,1686500,1773652,1686500
575,1686500,1766818,1686500
576,1686500,1777712,1686500
577,1686500,1764998,1686500
578,1686500,1774187,1686500
579,1686500,1769708,1686500
580,1686500,1764616,1686500
581,1686500,1778167,1686500
582,1686500,1779997,1686500
583,1686500,1768278,1686500
584,1686500,1765997,1686500
585,1686500,1775892,1686500
586,1686500,1773127,1686500
587,1686500,1765718,1686500
588,1686500,1765323,1686500
589,1686500,1780413,1686500
590,1686500,1764901,1686500
591,1686500,1767197,1686500
592,1686500,1772985,1686500
593,1686500,1779033,1686500
594,1686500,1785654,1686500
595,1686500,1775837,1686500
596,1686500,1778801,1686500
597,1686447,1780032,1686500
598,1686447,1775803,1686447
599,1686500,1772540,1686447
600,1686447,1771501,1686447
601,1686500,1768334,1686447
602,1686447,1773740,1686447
603,1686500,1774554,1686447
604,1686447,1773247,1686447
