Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
0,27901814,31581621,27965457
1,27779796,31986780,27901814
2,27954809,30975991,27779796
3,27779796,30952123,27779796
4,27795280,30320970,27779796
5,27901814,30212879,27779796
6,27651175,31258022,27779796
7,27779796,30578876,27651175
8,27779796,30705192,27651175
9,27691456,30555233,27651175
10,27663185,30251426,27651175
11,27609038,30714666,27651175
12,27802876,31408149,27609038
13,27558569,31274756,27609038
14,27730398,31440423,27558569
15,27412846,31761245,27558569
16,27560304,31395092,27412846
17,27737145,30834696,27412846
18,27609038,30902497,27412846
19,27609038,31265762,27412846
20,27412846,30697437,27412846
21,27609038,30757805,27412846
22,27449621,31021350,27412846
23,27412846,31127814,27412846
24,27532136,31563502,27412846
25,27515629,31680331,27412846
26,27449621,31190570,27412846
27,27386423,30387384,27412846
28,27249942,29908972,27386423
29,27287099,30024318,27249942
30,27326284,30030049,27249942
31,27386423,30556080,27249942
32,27249942,30072643,27249942
33,27249942,30584604,27249942
34,27068282,30892648,27249942
35,27077229,30412869,27068282
36,27077229,29996009,27068282
37,27030583,29434661,27068282
38,27030583,29171990,27030583
39,27068282,29456333,27030583
40,27030583,29211839,27030583
41,26983184,29346450,27030583
42,26983184,28751052,26983184
43,26864548,28880680,26983184
44,26864548,28866959,26864548
45,26864548,28628203,26864548
46,26864548,28728279,26864548
47,26730598,28520745,26864548
48,26685329,28799415,26730598
49,26605016,28697556,26685329
50,26582705,28473394,26605016
51,26628080,28358400,26582705
52,26584325,28234134,26582705
53,26372080,28341805,26582705
54,26369364,28696114,26372080
55,26369364,28117507,26369364
56,26369364,29209615,26369364
57,26218062,28063581,26369364
58,26218062,28264216,26218062
59,26215436,28057775,26218062
60,26215436,27726690,26215436
61,26091934,27799779,26215436
62,25953269,27920865,26091934
63,25953269,27607594,25953269
64,25953269,27331456,25953269
65,25845766,27313152,25953269
66,25845766,28880452,25845766
67,25845766,27398847,25845766
68,25773762,27300750,25845766
69,25774838,27401446,25773762
70,25773762,27331388,25773762
71,25752490,27315740,25773762
72,25742038,27304442,25752490
73,25632565,27306762,25742038
74,25560991,27042846,25632565
75,25555295,27274760,25560991
76,25555295,27210124,25555295
77,25439503,27137360,25555295
78,25409446,26923802,25439503
79,25409446,26804939,25409446
80,25355817,26812892,25409446
81,25355817,27087842,25355817
82,25291686,26978811,25355817
83,25288310,26807710,25291686
84,25201066,26709853,25288310
85,25201066,26742961,25201066
86,25126703,26627271,25201066
87,25050597,26537537,25126703
88,25047221,26488559,25050597
89,25011602,28302648,25047221
90,25011602,26809561,25011602
91,25008226,26441706,25011602
92,25005754,26441769,25008226
93,25005754,26463207,25005754
94,25005754,26468747,25005754
95,25005754,26304360,25005754
96,25005754,27502446,25005754
97,25005754,26189274,25005754
98,25005754,26139206,25005754
99,25005754,26173228,25005754
100,25005754,25672500,25005754
101,25005754,26153671,25005754
102,25005754,26750849,25005754
103,25005754,26340910,25005754
104,25005754,26255049,25005754
105,25005754,26116621,25005754
106,25005754,27844799,25005754
107,25005754,26329026,25005754
108,25005754,26851363,25005754
109,25005754,26273390,25005754
110,25005754,26322406,25005754
111,25005754,25791192,25005754
112,25005754,26292812,25005754
113,25005754,26230861,25005754
114,25005754,26325454,25005754
