Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
916,270322,328543,270322
917,270322,321995,270322
918,270322,323100,270322
919,270322,327086,270322
920,270322,327310,270322
921,270322,329432,270322
922,270322,325977,270322
923,270322,323209,270322
924,270322,334377,270322
925,270322,327514,270322
926,270322,324806,270322
927,270322,323638,270322
928,270322,327172,270322
929,270322,328098,270322
930,270322,324426,270322
931,270322,326214,270322
932,270189,330547,270322
933,270189,323468,270189
934,270189,328162,270189
935,270189,324691,270189
936,270189,336312,270189
937,270189,329195,270189
938,270189,330328,270189
939,270189,334057,270189
940,270189,327045,270189
941,270189,324503,270189
942,270189,323418,270189
943,270189,326481,270189
944,270189,325400,270189
945,270189,332740,270189
946,270189,325631,270189
947,270189,328966,270189
948,270189,328290,270189
949,270189,333570,270189
950,270189,328409,270189
951,270189,329264,270189
952,269918,325034,270189
953,269918,327684,269918
954,269918,329818,269918
955,269918,335379,269918
956,269918,342970,269918
957,269918,337808,269918
958,269918,329098,269918
959,269918,325845,269918
960,269918,326298,269918
961,269913,325489,269918
962,269913,340219,269913
963,269913,323667,269913
964,269913,331602,269913
965,269913,327466,269913
966,269913,326693,269913
967,269913,319333,269913
968,269913,324777,269913
969,269913,326049,269913
970,269913,327041,269913
971,269913,326761,269913
972,269913,336676,269913
973,269913,325326,269913
974,269913,323297,269913
975,269913,331249,269913
976,269913,324877,269913
977,269913,320475,269913
978,269913,323257,269913
979,269913,324509,269913
980,269913,325827,269913
981,269913,330738,269913
982,269913,333075,269913
983,269913,329343,269913
984,269913,329778,269913
985,269913,328712,269913
986,269913,326419,269913
987,269913,321486,269913
988,269913,328772,269913
989,269913,325412,269913
990,269913,330425,269913
991,269913,332134,269913
992,269913,328155,269913
993,269913,332874,269913
994,269913,328532,269913
995,269913,329547,269913
996,269913,329461,269913
997,269913,332890,269913
998,269913,331397,269913
999,269913,332275,269913

Precisao,Condicao_Parada,Tempo,Melhor_Fitness
0.9597351739264133,MAX_GERACAO,27,269913

tamanho_populacao,k_individuos_selecao,posicoes_cruzamento,busca_local_profundidade,taxa_busca_local,taxa_cruzamento,taxa_mutacao,taxa_sobrevivencia
50,3,50,0.1,0.6,0.01,0.5
