Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
0,311010,359593,314826
1,304827,325541,311010
2,304827,317269,304827
3,297708,315715,304827
4,291256,311293,297708
5,291256,306286,291256
6,291256,315777,291256
7,284724,297708,291256
8,281242,301284,284724
9,281242,291256,281242
10,281242,314409,281242
11,281242,284724,281242
12,281242,306818,281242
13,281242,281242,281242
14,281242,281242,281242
15,281242,281242,281242
16,281242,328587,281242
17,281242,313305,281242
18,281242,281242,281242
19,281242,281242,281242
20,281242,281242,281242
21,281242,300325,281242
22,281242,281242,281242
23,281242,284873,281242
24,281242,281242,281242
25,281242,281242,281242
26,281242,305052,281242
27,281242,291486,281242
28,281242,281242,281242
29,281242,281242,281242
30,281242,281242,281242
31,281242,281242,281242
32,281242,281242,281242
33,281242,281242,281242
34,281242,281242,281242
35,281242,281242,281242
36,281242,281242,281242
37,281242,281242,281242
38,281242,281242,281242
39,281242,311591,281242
40,281242,281242,281242
41,281242,309617,281242
42,281242,281242,281242
43,281242,294344,281242
44,281242,281242,281242
45,281242,281242,281242
46,281242,299368,281242
47,281242,281242,281242
48,281242,281242,281242
49,281242,312275,281242
50,281242,281242,281242
51,281242,281242,281242
52,281242,324284,281242
53,281242,323844,281242
54,281242,301672,281242
55,281242,281242,281242
56,281242,299620,281242
57,281242,281242,281242
58,281242,281242,281242
59,281242,281242,281242
60,281242,281242,281242
61,281242,281242,281242
62,281242,281242,281242
63,281242,281242,281242
64,281242,281242,281242
65,281242,281242,281242
66,281242,281242,281242
67,281242,281242,281242
68,281242,281242,281242
69,281242,320331,281242
70,281242,281242,281242
71,281242,281242,281242
72,281242,281242,281242
73,281242,281242,281242
74,281242,281242,281242
75,281242,281242,281242
76,281242,281242,281242
77,281242,281242,281242
78,281242,281242,281242
79,281242,281242,281242
80,281242,281242,281242
81,281242,307991,281242
82,281242,281242,281242
83,281242,281242,281242
84,281242,281242,281242
85,281242,281242,281242
86,281242,312360,281242
87,281242,300932,281242
88,281242,281242,281242
89,281242,299183,281242
90,281242,305851,281242
91,281242,294500,281242
92,281242,281242,281242
93,281242,286932,281242
94,281242,281242,281242
95,281242,308137,281242
96,281242,281242,281242
97,281242,314216,281242
98,281242,281242,281242
99,281242,281242,281242
100,281242,281242,281242
101,281242,281242,281242
102,281242,281242,281242
103,281242,281242,281242
104,281242,281242,281242
105,281242,281242,281242
106,281242,281242,281242
107,281242,281242,281242
108,281242,281242,281242
109,281242,283883,281242
110,281242,281242,281242
111,281242,281242,281242
112,281242,281242,281242
113,281242,281242,281242
114,281242,281242,281242
115,281242,281242,281242
116,281242,307704,281242
117,281242,281242,281242
118,281242,281242,281242
119,281242,281242,281242
120,281242,281242,281242
121,281242,281242,281242
122,281242,281242,281242
123,281242,294078,281242
124,281242,281242,281242
125,281242,281242,281242
126,281242,281242,281242
127,281242,281242,281242
128,281242,281242,281242
129,281242,281242,281242
130,281242,281242,281242
131,281242,281242,281242
132,281242,281242,281242
133,281242,281242,281242
134,281242,281242,281242
135,281242,281242,281242
136,281242,306348,281242
137,281242,295148,281242
138,281242,281242,281242
139,281242,281242,281242
140,281242,281242,281242
141,281242,334566,281242
142,281242,281242,281242
143,281242,281242,281242
144,281242,281242,281242
145,281242,307339,281242
146,281242,295104,281242
147,281242,281242,281242
148,281242,281242,281242
149,281242,281242,281242
150,281242,281242,281242
151,281242,281242,281242
152,281242,281242,281242
153,281242,281242,281242
154,281242,303164,281242
155,281242,281242,281242
156,281242,340106,281242
157,281242,310680,281242
158,281242,281242,281242
159,281242,310406,281242

Precisao,Condicao_Parada,Tempo,Melhor_Fitness
0.9210750883580688,ESTAGNACAO,8,281242

tamanho_populacao,k_individuos_selecao,posicoes_cruzamento,busca_local_profundidade,taxa_busca_local,taxa_cruzamento,taxa_mutacao,taxa_sobrevivencia
50,3,50,0.1,0.8,0.2,0.3
